"Name","Gender","Location","DOB"
"Georgia Wagner","female","Skookumchuck, VA","1977-02-26"
"Meredith Holt","female","Coltman, WV","1957-09-22"
"Cora Bradley","female","Fairland, GA","1995-07-19"
"Carol Scott","female","Two Brooks, WI","1973-08-17"
"Vincent Silva","male","Brookhaven, DC","1959-07-30"
"Clifton Armstrong","male","Cimarron, WA","1971-10-08"
"Deanna Stanley","female","Morgan Mill, OK","1971-04-20"
"Sidney Walker","male","Scottsville, KS","1987-01-05"
"Guillermo Gross","male","Del Rey Oaks, RI","1998-05-31"
"Daniel Steele","male","Martins Corner, TX","1963-07-09"
"Brett Jimenez","male","East Waterford, ME","1958-05-06"
